Name:  Very dark grayish brown silty loam
Type:  Soils
Class:  Inceptisol
Subclass:  Plaggept
Particle Size:  see additional information
Sample No.:  85P3707
Owner:  JHU
Wavelength range:  All
Origin:  Reelfoot Indian mound.  Obion Co., Tn. via USDA Soil 
Conservation service
Description:  Very dark grayish brown silty loam.





Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  85P3707a.txt

3.7951	26.9553
3.7924	26.8947
3.7896	26.8268
3.7868	26.7485
3.7841	26.6625
3.7813	26.6220
3.7785	26.5866
3.7758	26.4775
3.7730	26.3867
3.7703	26.3569
3.7676	26.3393
3.7648	26.2617
3.7621	26.1511
3.7594	26.0861
3.7566	26.0319
3.7539	25.9753
3.7512	25.9316
3.7485	25.8351
3.7458	25.7463
3.7431	25.6740
3.7404	25.5922
3.7377	25.5392
3.7350	25.4980
3.7323	25.4050
3.7296	25.3451
3.7269	25.3222
3.7242	25.2626
3.7216	25.1926
3.7189	25.1721
3.7162	25.1164
3.7136	25.0309
3.7109	24.9809
3.7083	24.8898
3.7056	24.8339
3.7030	24.7946
3.7003	24.7397
3.6977	24.6713
3.6950	24.6393
3.6924	24.5873
3.6898	24.5165
3.6872	24.4160
3.6845	24.3456
3.6819	24.2995
3.6793	24.2314
3.6767	24.1642
3.6741	24.1293
3.6715	24.1008
3.6689	24.0178
3.6663	23.9218
3.6637	23.8537
3.6611	23.8129
3.6585	23.7453
3.6560	23.6701
3.6534	23.6511
3.6508	23.6227
3.6482	23.5053
3.6457	23.4335
3.6431	23.4030
3.6406	23.3366
3.6380	23.2604
3.6355	23.1992
3.6329	23.1430
3.6304	23.0537
3.6278	22.9882
3.6253	22.9365
3.6227	22.8796
3.6202	22.8032
3.6177	22.7407
3.6152	22.6713
3.6127	22.5969
3.6101	22.5229
3.6076	22.4487
3.6051	22.3889
3.6026	22.3456
3.6001	22.2663
3.5976	22.1860
3.5951	22.1027
3.5926	22.0307
3.5901	21.9526
3.5876	21.8915
3.5852	21.7956
3.5827	21.7065
3.5802	21.6415
3.5777	21.5385
3.5753	21.4387
3.5728	21.3681
3.5704	21.2634
3.5679	21.1799
3.5654	21.0913
3.5630	20.9953
3.5605	20.9343
3.5581	20.8242
3.5557	20.6953
3.5532	20.5913
3.5508	20.5241
3.5484	20.4558
3.5459	20.3332
3.5435	20.2326
3.5411	20.1059
3.5387	19.9728
3.5363	19.8371
3.5338	19.7182
3.5314	19.5952
3.5290	19.4511
3.5266	19.2900
3.5242	19.1162
3.5218	18.9343
3.5195	18.7534
3.5171	18.5385
3.5147	18.3364
3.5123	18.0571
3.5099	17.7277
3.5075	17.4877
3.5052	17.3779
3.5028	17.3107
3.5004	17.3024
3.4981	17.3286
3.4957	17.3718
3.4934	17.3723
3.4910	17.3159
3.4887	17.2690
3.4863	17.2019
3.4840	17.1181
3.4816	17.0695
3.4793	16.9619
3.4770	16.8708
3.4746	16.8281
3.4723	16.7595
3.4700	16.7273
3.4677	16.6762
3.4653	16.6066
3.4630	16.5405
3.4607	16.4841
3.4584	16.4314
3.4561	16.3078
3.4538	16.1613
3.4515	16.0361
3.4492	16.0068
3.4469	15.9726
3.4446	15.8220
3.4423	15.6826
3.4400	15.5830
3.4378	15.4526
3.4355	15.2702
3.4332	15.0832
3.4309	14.8615
3.4287	14.6450
3.4264	14.4755
3.4241	14.3474
3.4219	14.2409
3.4196	14.1230
3.4174	14.0507
3.4151	14.0210
3.4129	14.0402
3.4106	14.0564
3.4084	14.0730
3.4061	14.0764
3.4039	14.0808
3.4017	14.1264
3.3994	14.1797
3.3972	14.2075
3.3950	14.2629
3.3928	14.2861
3.3906	14.2985
3.3883	14.2976
3.3861	14.2961
3.3839	14.2675
3.3817	14.2146
3.3795	14.1972
3.3773	14.2075
3.3751	14.1926
3.3729	14.1770
3.3707	14.1836
3.3685	14.2160
3.3663	14.2111
3.3641	14.2358
3.3620	14.2917
3.3598	14.3249
3.3576	14.3142
3.3554	14.3064
3.3533	14.3288
